站號,站名,海拔高度(m),經度,緯度,城市,地址,資料起始日期,撤站日期,備註,原站號,新站號
C0G780,秀水,27,120.5039,24.0341,彰化縣,秀水鄉安東村中山路257號(秀水國小),2011/11/01,　,　,　,　
C0G790,花壇,27,120.5523,24.0161,彰化縣,花壇鄉中庄村中橋街226號(華南國小),2011/11/01,　,　,　,　
C0G800,埔鹽,15,120.4317,24.0004,彰化縣,埔鹽鄉永樂村永樂路600號(永樂國小),2011/11/01,　,　,　,　
C0G810,埔心,26,120.5255,23.9476,彰化縣,埔心鄉舊館村員鹿路四段201號(舊館國小),2011/11/01,　,　,　,　
C0G820,田尾,29,120.5094,23.9017,彰化縣,田尾鄉中正路二段101號(仁豐國小),2011/11/01,　,　,　,　
C0G830,埤頭,27,120.4528,23.866,彰化縣,埤頭鄉大湖村大湖路260號(大湖國小),2011/11/01,　,　,　,　
C0G840,北斗,32,120.5142,23.8776,彰化縣,北斗鎮斗苑路二段150號(螺陽國小),2011/11/01,　,　,　,　
C0G850,田中,62,120.5883,23.8568,彰化縣,田中鎮中州路一段177號(田中國小),2011/11/01,　,　,　,　
C0G860,社頭,45,120.5862,23.8976,彰化縣,社頭鄉社斗路一段258號(社頭國小),2011/11/01,　,　,　,　
C0G870,芳苑,12,120.32,23.9223,彰化縣,芳苑鄉仁愛村斗苑路芳苑段211號(芳苑國中),2011/11/01,　,　,　,　
C0G880,二水,92,120.6173,23.8107,彰化縣,二水鄉文化村119號(二水國小),2011/11/01,　,　,　,　
C0G890,伸港,24,120.4844,24.1489,彰化縣,伸港鄉新港村和平路60號(新港國小),2011/11/01,　,　,　,　
C0H890,埔里,440,120.9524,23.9722,南投縣,埔里鎮大城里大城路169號(南投縣立大成國民中學內),2016/01/01,　,原大肚城(C1H890)站因擴充為氣象站，於2015/9/4升級為(C0H890)站，站名更變為埔里。,C1H890,　
C0H950,中寮,192,120.7664,23.8844,南投縣,中寮鄉復興村初中巷50號(中寮國中校園內),2011/11/01,　,原(C1H950)站因擴充為氣象站，於2011/11/1升級為(C0H950)站。,C1H950,　
C0H960,草屯,120,120.6809,23.9737,南投縣,草屯鎮中山里草鞋墩1街8號(草屯鎮公所樓頂),2011/11/01,　,原(C1H960)站因擴充為氣象站，於2011/11/1升級為(C0H960)站。,C1H960,　
C0H990,昆陽,3076,121.2736,24.1213,南投縣,仁愛鄉昆陽警察局後方下坡處(太魯閣國家公園)石碑後20公尺,1992/07/01,　,本站於2015/8/24起進行儀器汰換，並於2015/12/31完成驗收。,　,　
C0H9A0,神木村,1595,120.8437,23.5327,南投縣,信義鄉神木村神木工作分站後方山坡上(對高岳營林區29林班地444號土地),1999/02/01,　,本站於2015/9/21起進行儀器汰換，並於2015/12/31完成驗收。,　,　
C0H9C0,合歡山,3402,121.2725,24.1434,南投縣,仁愛鄉(近合歡山三角點，由松雪樓開車約15分鐘，大甲溪事業區第81林班),2008/02/25,　,原(C0F950)站因縣市代碼不符，於2008/2/25重新編碼為(C0H9C0)站。,C0F950,　
C0I010,廬山,1562,121.1818,24.0333,南投縣,仁愛鄉大同村仁和路21號(埔里-霧社收費站-盧山電力公司瞭望台),1992/07/01,　,本站於2015/7/30起進行儀器汰換，並於2015/12/31完成驗收。,　,　
C0I080,信義,536,120.851,23.6897,南投縣,信義鄉自強村綠美巷(內茅埔營林區23林班地),2016/01/01,　,原(C1I080)站因擴充為氣象站，於2015/9/22升級為(C0I080)站。,C1I080,　
C0I090,鳳凰,910,120.7873,23.7281,南投縣,鹿谷鄉鳳凰鳥園旁,1992/07/01,　,　,　,　
C0I110,竹山,161,120.6882,23.7612,南投縣,竹山鎮延和里向學街32號(竹山國民小學內),1992/07/01,　,　,　,　
C0I360,水里,300,120.8498,23.8126,南投縣,水里鄉中山路一段515號(玉山國家公園管理處),2016/01/01,　,　,　,　
C0I370,魚池,671,120.9414,23.8957,南投縣,魚池鄉東池村魚池街194號(魚池鄉衛生所),2016/01/01,　,　,　,　
C0I380,集集,258,120.8015,23.8282,南投縣,集集鎮民生東路1號(農委會特有生物研究保育中心),2016/01/01,　,　,　,　
C0I390,仁愛,1184,121.1322,24.0221,南投縣,仁愛鄉仁和路50號(台電公司仁愛服務所),2016/01/01,　,　,　,　
C0I410,名間,180,120.7014,23.8371,南投縣,名間鄉董門巷2號(名間鄉立體停車場),2016/01/01,　,　,　,　
C0I420,國姓,305,120.8551,24.0378,南投縣,國姓鄉民族街40號(國姓鄉老人文康活動中心),2016/01/01,　,　,　,　
C0I460,南投,110,120.6792,23.9132,南投縣,南投市龍泉里玉井街5號(南投市公所樓頂),2015/09/21,　,　,　,　
C0I480,梅峰,2165,121.1736,24.0853,南投縣,仁愛鄉大同村仁和路215號(梅峰農場),2016/01/01,　,　,　,　
C0I490,萬大林道,1601,121.0914,23.9282,南投縣,仁愛鄉曲冰段(萬大林道約7.2k附近高地),2016/01/01,　,　,　,　
C0I520,玉山風口,3860,120.956,23.4705,南投縣,信義鄉(玉山主峰往北峰叉路空地附近),2016/07/15,　,　,　,　
C0K240,草嶺,1132,120.6935,23.5956,雲林縣,古坑鄉草嶺村龍頭,1992/07/01,　,　,　,　
C0K250,崙背,59,120.3189,23.7556,雲林縣,崙背鄉阿勸村阿勸農場(阿勸段487號),2016/01/01,　,原(C1K250)站因擴充為氣象站，於2015/6/8升級為(C0K250)站。,C1K250,　
